row,source_label,narrative
5010,Debt collection,"I'm a natural person, I am a living being, I have rights under 15 USC 1681.or 15 U.S.C 1681 section 602 A. states I have the right to privacy. 

In accordance with the fair Credit Reporting act Collections- XXXX XXXX XXXX {$480.00} opened XXXX, Collections- XXXX XXXX XXXX  XXXX said I owed them {$8900.00} open XXXX They are not the Original Owners 15 U.S.C 1681 section 604 A. section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1681c. ( a ) ( 5 ) Section states : no consumer reporting agency may make any consumer report containing any of the following items of information any other adverse item of information, other than records of convictions of crimes which antedates the report by more than seven years. 

15 U.S.C. 1681s-2 ( a ) ( 1 ) A person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate.

15 U.S.C. 1666b A Creditor may not treat a payment on a credit card account under an open end consumer credit plan as late any reasons. 

According to 15 USC 1681 : I have the right to privacy, and I did not give XXXX, TransUnion, XXXX, written permission to furnish these accounts."
5011,Debt collection,"I closed my account with XXXX at their store in the XXXX XXXX in XXXX New Jersey. I paid a total of {$160.00} at the counter, in order to settle any outstanding bill. 

XXXX then sent me a bill of about {$160.00} They placed the amount with a company called 1. Enhanced Recovery Co XXXX XXXX XXXX, FL XXXX ( XXXX ) XXXX Collection Agencies Website 2.  Enhanced Recovery Company - CLOSED XXXX XXXX XXXX XXXX, FL XXXX ( XXXX ) XXXX - As you can see, they pop up and then close and then pop up again. They reported a negative mark on my credit report for {$100.00}. In my opinion they are holding my information hostage against me paying them an amount they will share with XXXX. I think this scam is disgusting as I have the receipt from the bill I paid at the counter ( repeating above ) at the XXXX store. 

I have my charge receipt from XXXX, and want them to stop this OUTRAGEOUS practice of collecting an "" extra month '' for no reason but to line their own pockets."
5012,Credit reporting,"On XXXX i sent transunion a letter to verify information on my report because it did not seem right. On XXXX They did remove about 2 accounts but they claimed the rest was verified so i asked how did they verify the information and what steps where tooken and on XXXX XXXX i told them "" A template response will not be an acceptable response If you can not supply ALL of the above information in a timely manner as detailed in several laws, including but not limited to the Fair Credit Reporting Act, I must immediately demand the permanent removal of this item from my credit report. '' But they failed to provide me with that information. I really do regret having to exersise my rights. On XXXX they responded that they can not reinvestigate the items listen unless i have additional information to support my investigation because they "" completed their dispute '' but i was told by the free lawyer guy that i can dispute more than just one time. So why is that i am denied of exercising my rights to dispute INACCURRATE INFORMATION. I am requesting removal of these accounts now or i will use these documents to support my claims."
5013,Credit reporting,"On XX/XX/XXXX, I was a victim of identity theft. Upon reporting this incident to the FTC, I was instructed to file a claim with Equifax. Equifax has done nothing regarding this matter. 

Approximately XXXX, XXXX when applying for a mortgage, I discovered problems with my Equifax account. Among the problems, Equifax had changed my birth year to XXXX. As I had previously obtained a mortgage in XXXX, I am aware that in XXXX Equifax had my correct birth year. How did my birth year get changed? I had to go through significant efforts to correct Equifax 's mistakes. This strongly suggests that my Equifax account had been compromised between XXXX and XXXX- which corresponds with the data breach Equifax experienced. 

I believe my recent identity theft incident is directly related to the data breach at Equifax. As I have completed the claim form as instructed by the FTC, I believe that Equifax has a responsibility to address this matter. 

As consumers, we have no options - no choice - regarding these credit rating agencies who profit by using our personal information to sell to insurance companies, telecommunication companies, credit card companies and other industries. Credit reporting companies need to be strictly regulated and heavily penalized when they abuse the consumer."
5014,Debt collection,"Discover Card and a few other collectors keep calling my cell phone and my mother 's cell phone for my brother 's debt. I told them this is not his phone number, I do n't owe you the debt and to take me off the call list. They say ok and then they still call / harass, almost every single day. They even called us on Sunday XX/XX/XXXX back to back at XXXX XXXX XXXX XXXX and at lunch time."
5015,Credit card,"On XX/XX/XXXX, I received an email from Barclay stating "" when you use your XXXX XXXX XXXX Mastercard to place 3 orders with XXXX XXXX, XXXX, XXXX, XXXX or XXXX, from XX/XX/XXXX until XX/XX/XXXX, you'll earn a {$20.00} statement credit. '' During the month of XXXX I placed 3 orders on XXXX XXXX dated on XX/XX/XXXX, XX/XX/XXXX, and XX/XX/XXXX. I called about one month later and the customer representative told me statement credit will be applied when my next statement is posted. Now it has been more than 4 months and I still haven't received the {$20.00} statement credit."
5016,Money transfer or service,"I found an individual on XXXX that was selling a set of XXXX tickets to a game. The seller showed me so called proof that the tickets were real and requested me to send the {$950.00} through XXXX for tickets after showing the proof which I thought was the real deal. At this point I sent the {$950.00} to the individual and after that they requested I send another {$260.00} for a transfer name fee at this point they sent a screen shot of XXXX website with the amount and the list of names I provided and it looked legit so I sent the {$260.00} then I verified they received the transaction at that point the individual then requested I sent another {$86.00} per ticket to activate the tickets online. Once I seen that I started asking what is with all the fees and I stated something does not seem right. I demanded that they refund my {$1200.00} immediately, at the time the blocked me on XXXX and was last time I heard from them. I then called the bank and started a fraud case they said would take upto 10 business days to process the case. Today XX/XX/year> I called for a update at which point they has stated that I approved the transaction and they would not offer me a refund. I asked to speak with a manger at which time I was told one was not available. 

Now here we are trying to get some kind of assistance to getting my money back from the back or said scammer the bank does not stand behind there customers. 

Please help me! 

XXXX XXXX XXXX"
5017,Debt collection,"See attached forensic mortgage analysis. This is a good example of Mortgage Fraud by a Debt collector pretending to be a mortgage company. This is fixing to end up in Federal Court, Read the Attachment. Color of Law Crimes, Civil Rights Violations RICO, Racketeering. These companies destroyed my family broke apart with the stress, after 25 years. I was put in Default the COVID deferment, they were fined but I never saw a XXXX. The revolution was fought by We The People to gain sovereignty of our land from the British, and our Great Western Experiment, the only one ever in the History of man. Where you did not have to be born into a certain bloodline to not be a XXXX XXXX XXXX. Unfortunately that didn't last long, the American Revolution part 2 ( the civil war ) and we lost. The corporation Started in 1871 in the States called the XXXX XXXX  XXXX XXXX  XXXX XXXX, by the King of XXXX... The truth is there was a Federal Lien when I purchased the place and looks like the title company is about to be in Federal Court also. there is a Federal Lien on every ones property. We all can sue the title companies. This is a fact. read the attachments. XXXX XXXX XXXX XXXX, XXXX, XXXX, XXXX, XXXX XXXX XXXX. XXXX XXXX XXXX XXXX, XXXX XXXX XXXX XXXX XXXX, has no Oath of Office, Ruled against me in these proceedings. case # XXXX,"
5018,Money transfer or service,"On XXXX XXXX,2017 I saw in TV the commercial of Wetern Union where they offered money transfers in just minutes, and I decided to tried it.I download the app in my phone and I did the transfer for a fee of $ XXXX.What happenned was that my Mom have n't received the money yet, and she has {$0.00} in her bank account, so she ca n't even get medicine or food.How is it possible that they advertise a service that has nothing to do with the reality? My Mom and I were worried from the first day, but we said let 's wait because maybe for being first time users they verified the accounts and the information, but today I checked the bank account and it was still empty.I called them, and they said that the money will be available on XX/XX/XXXX, and they ca n't do anything to help me, just cancel the transaction and wait for the same amount of days to be effective.I explained to them the necessity of my Mom for having the money, and I asked the help of a Supervisor, the person with whom I was talking told me that it is not possible for them to change the transfer once it was made, so I feel very sad and very frustrated because they treated me without any kind of compassion, they simply do n't care.It 's a shame that in this great country things work so bad."
5019,Credit card,"Complaint : Credit Balance Refund Repayment VISA Account : XXXX with Elan Financial Service, marketed as XXXX VISA and linked with my XXXX XXXX XXXX XXXX account XXXX XXXX XXXX credit card business partner Elan Financial Services has ignored my specific written instructions, made pursuant to Regulation Z, to directly refund my credit balance to me. Instead, {$47000.00} was transferred to some other financial institution and is now missing. 

In my correspondence with Elan on XX/XX/XXXX, which Elan acknowledged the receipt of in its XX/XX/XXXX response, I stated that : Pursuant to 12 CFR Part 1026 ( 2 ) ( Regulation Z ), I hereby request in writing that the credit balance on my account be refunded to me. Subsection 2 requires : Refund any part of the remaining credit balance within seven business days from receipt of a written request from the consumer ; As of XX/XX/XXXX, however, Elan has reduced my credit balance from my account but is now unable identify where these funds are. I am also unable to find any financial account of mine to which these funds have been credited. I have further contacted XXXX XXXX to resolve this, but they referred the matter to Elan. 
Since XX/XX/XXXX, I have spent more than several hours on multiple phone calls with Elan without any satisfaction. Most recently I was told by an Elan customer service representative they are researching the matter. 

In short, nearly {$48000.00} of my funds can not be accounted for by these firms. 

XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, Md XXXX XXXX"
5020,Credit reporting,"The List of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 USC 1681. 
Account name : XXXX XXXX opened XXXX XXXX # XXXX, Account name : XXXX XXXX opened # XXXXAccount name : XXXX XXXX # XXXX, Account name : XXXX  # XXXX opened XXXX XXXX XXXX XXXX  XXXX # XXXX XXXX  acc # XXXX. {$440.00} XXXX XXXX acc # XXXX XXXX has violated my rights. 

I looked at my credit report on XX/XX/year> and noticed some things are incomplete and not accurate. And according to the fair credit reporting act Whenever a consumer reporting agency prepares a consumer report it shall follow reasonable procedures to assure maximum possible accuracy of the information concerning the individual about whom the report relates according to 15 USC 1681 ( e ) ( b ).

And according to 15 USC 1681 5 they are suppose to do this ( 5 ) Treatment of inaccurate or unverifiable information ( A ) In generally, after any reinvestigation under paragraph ( 1 ) of any information disputed by a consumer, an item of the information is found to be inaccurate or incomplete or can not be verified, the consumer reporting agency shall ( i ) promptly delete that item of information from the file of the consumer, or modify that item of information, as appropriate, based on the results of the reinvestigation; and ( ii ) promptly notify the furnisher of that information that the information has been modified or deleted from the file of the consumer. 

and according to 15 USC 1681s-2 they are suppose to not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate."
5021,Mortgage,I am completely disgusted on the lack of communication and attention this file has received. I called today to find out if the value is in as it was completed on XXXX XXXX per the listing agent and I was told by customer services there was just a note in the system as of XXXX XXXX about loan modification. The opt out for the loan mod was even confirmed received by and confirmed by Supervisor XXXX XXXX on XXXX XXXX and XXXX XXXX stated on XXXX XXXX the file was assigned a short sale negotiator. I have had ZERO communications for said negotiator and this file has experienced one delay after another and it is completely unacceptable. The offer and complete packet were submitted over 80 days ago and there has been zero progress. It takes 5 outgoing emails to XXXX XXXX to receive a one sentence vague response. There is no excuse for the level of service that this file has endured.
5022,Mortgage,"1. I was in a Covid-19 forbearance plan with XXXX Mortgage. 
2. I asked XXXX umpteen times to place my account on a repayment plan, to no avail. 
3. XXXX sold the servicing rights to Selene Finance LP. 
4. Selene Finance reported late payments to the three CRA 's. 
5. Selene Finance initiated a foreclosure proceeding.

6. I reinstated the loan and brought it current.

7. My new account 's online portal has hidden information with added fees that does not disclose nor explain what the added fees are for. 
8. My escrow balance is incorrect, as I have double-paid my property taxes : to the county and to the Re-instatement Amount. 
9. My credit score is damaged, as they were not supposed to report lates for those who are/were in a Covid-19 forbearance. 
10. Similarly, my new payment due is {$400.00} more than usual, and I will be reluctantly paying it because I feel as though I'm being coerced into doing so."
5023,Debt collection,"Hello, I am disputing a frivolous collection account that is appearing with the credit bureaus from the company Credit Collection Services. I have sent a few letters ( 5 ) to be exact to the frivolous company and the credit bureaus. The bureaus have failed me and violated FCRA. My most recent letter dated XX/XX/15 ask the said company to validate this irroneous said debt. Credit Collection Services sends a bill. A freaking bill anyone can type up a bill, this bill absolutely does NOT suffice. I specifically asked for a contract with my signature. This agency didnt provide the request validation per the FCRA within the 30 days. Violation to FCRA. Violations as me being a XXXX woman in America trying to survive. I am so shocked that these companies can place frivolous accounts and the bureaus allow this. I am demanding this account be removed in its entirety and completely from all the bureaus."
5024,Debt collection,"Unlicensed Debt Collection in Georgia Dear CFPB, I am writing to formally dispute the debt associated with my name, which is being pursued by XXXX XXXX and Portfolio Recovery Associates XXXX I am a resident and citizen of Georgia, and under the Georgia Industrial Loan Act, all debt collectors or debt buyers must be licensed by the Georgia XXXX XXXX XXXX XXXX XXXXXXXX to legally engage in debt collection activities within the state. 

It has come to my attention that XXXX XXXX and Portfolio Recovery Associates are not licensed to operate in Georgia, which I believe constitutes a violation of state law. I request that you investigate this matter and ensure compliance with the relevant regulations. 

Thank you for your attention to this issue. I look forward to your prompt response. 

Sincerely, XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX"
5025,Credit reporting,"Rights are subject to be held under 15 USC 1681.

Equifax is govern by 15 USC 1681. My rights were in fact violated on numerous occasions. According to 15 USC 1681, I have the right to privacy and did not give Equifax written permission to furnish the accounts below and demand they be removed immediately. 

Accounts : XXXX XXXX XXXXXXXX XXXX XXXX ; XXXX XXXX ; and XXXX XXXX XXXX"
5026,Bank account or service,"On XX/XX/XXXX I received a text message with a screenshot of my personal account bank statement from my business partner asking about my personal account funds and then I came to realized that my business partner had access to my personal account for almost over 8 months without any of my authorization. 
In XX/XX/XXXX when my business partner joined the business we went to the bank and gave him access to our business account, but somehow he was was able to switch user online into my personal account and had access to all my personal finances through his personal devices. This is unacceptable and a huge privacy problem and right now my business partnership is at risk due access to unauthorized information that my partner had access to. 
Institution : Truist Bank XXXX XXXX XXXX XXXX XXXX XXXX, FL, XXXX"
5027,Credit card,"During a fight to Main XXXX, AAdvantage provided me a means to apply for a XXXX account XXXX I applied and the process was not completed because they said they needed more information. 

I tried to contact them several times and due to "" pandemic '' the process was not complete, they are short in staff. 

I received a noticed that the time/window to apply ended in XX/XX/2022. So I reapplied again. 

Now I applied via online. 

The send me mail indicating I was not approved for the applicant. 
I have a credit score of XXXX the last two times I checked during the last 16 months. I also have paid existing debts that were opened. 

Note : They request to provide the amount on the house payment. If I include it, then I must include my wife 's income. All of the house is in her name and she makes all of the house payment.. 
House payment is almost XXXX XXXX/month My wife 's income is Almost $ XXXX. 
My income is $ XXXX and I do not have a house payment. 

The Citi Bank AAdvantage application is ID # : XXXX I received a denial letter printed on XX/XX/2022. 
Reason : XXXXHad submitted multiple applications. 

I have submitted multiple applications because the credit agency is not providing me a means to complete neither the first one nor the last one I just submitted. 

and my credit score continuos to be over XXXX"
5028,Consumer loan,"I am finishing up a XXXX XXXX, ten years after completing my XXXX XXXX. I financed my education entirely through student loans, but made regular payments on them as much as I could between degrees while I worked full time. My loan company is currently billing me while I am in school and said my first payment is due two days after I graduate. I explained that I am a XXXX XXXX XXXX and not working I plan to immediately find a job after I graduate, but did not expect to be getting bills while I was still in school. I asked what my options were, they give me vague answers only and refer me to deferment options I dont qualify for. They take several days to respond to my emails, its never the same person answering them, and they dont answer all my questions. I want to get everything from them in writing because they have given me false information in the past. I dont know if its legal for them to be billing me while still in school, even if my first payment is due two days after I graduate. I havent even completed my exit counseling yet. I asked if they could defer the billing cycle for just one month, because it would make all the difference to me and none to them, and I made regular payments for years, and they did not answer my question or acknowledge my request. They only give automatic sounding responses to my emails and wont answer my specific questions."
5029,Money transfer or service,On XX/XX/2023 I made a cash deposit in the amount of {$2100.00} at a chase atm branch located at XXXX XXXX XXXX XXXX. The atm malfunctioned and gave me a receipt to check on the status of the deposit. I made a claim over the phone and along with the branch at above location. Within 3 days I was credited. Fast forward to XX/XX/XXXX Chase bank decides to reverse the credit and it takes {$2000.00} of my money from my account. I follow up on XX/XX/XXXX with a dispute of their investigation. They claimed the ATM didnt go over. I asked to see the cameras and they refused. I know what I deposited in the atm on XX/XX/2023. It was {$2100.00} cash all in {$100.00} bills. Please help me stop these crooks from taking my hard earned cash.
5030,Credit reporting,"The Fair Credit Reporting Act ( 15 U.S. Code 1681 ) says ( 1 ) The banking system is dependent upon fair and accurate credit reporting. Inaccurate credit reports directly impair the efficiency of the banking system, and unfair credit reporting methods undermine the public confidence which is essential to the continued functioning of the banking system. So whenever there is a violation under the FCRA, it impairs the efficiency of the banking system. This is a violation of TILA US Code 1666B since I was never late. "" I recently reviewed my consumer report and noticed an incorrect late payment record. I have always maintained timely payments on this account. Under the Fair Credit Billing Act ( FCBA ) and the Truth in Lending Act ( TILA ), creditors are required to accurately report consumer transactions and provide a mechanism for correcting errors in a timely manner. Please conduct an investigation into this matter, and if you can not provide documentary evidence of these supposed late payments, I demand these payments to be updated to on time as they should be as I was NEVER late. I expect these updates to be made promptly, in compliance with the law. 


XXXX XXXX XXXX XXXX XXXXXXXX"
5031,Credit card,"I got a new US Bank small business credit card on or around XX/XX/2023. I used it normally for a couple of months, and then US Bank decided to close the account right after I had met required spend to earn the sign-up bonus, depriving me of all my rewards I was due. I have tried to contact them to have my account reopened multiple times, and I have been promised callbacks from managers multiple times, but no one ever calls me back, and my account remains closed."
5032,Bank account or service,"A check was deposited by my girlfriend and it came back as altered/fraudulent so the bank said they were closing the account. That is fine, however they are holding my funds for 60 days. This is unexceptionable. The funds deposited in the account are from SSDI and are federally protected. This is my only form of income and holding them will cause undo and unnecessary suffering on my part, no food, no gas, no bills being paid, and phone already suspended. If I read the law correctly they must make available at least 2 months of SSDI payments which are direct deposited into account"
5033,Consumer loan,"I did own a XXXX XXXX, I had a XXXX  with a XXXX  which messed up the power steering system, I told a customer service representative about the issue, waiting for the insurance claim to come back so I could get the account up to date, the customer service representative didnt care, basically told me it wasnt their problem and I still had to pay the bill"
5034,Money transfer or service,I made a transfer from XXXX XXXX XXXX to wells fargo. XXXX never received payment from well fargo because they claim they dont do online transfers. Wells Fargo still wants me to pay transfer balance when I already payed XXXX.
5035,Credit reporting,"This is my final follow-up dispute regarding the inaccurate accounts you continue to report. 

Despite multiple disputes, you have failed to act in accordance with the law and continue to report this false and damaging information. It is important to highlight the inaccuracies, proving that your reporting is not only incompetent but also unfair, inconsistent, and harmful."
5036,Debt collection,"Portfolio Recovery reported a debt on my credit report without any prior communication. I received no dunning letter, phone call, text, or email before they reported to the credit bureaus. 

This violates Section 1692g of the Fair Debt Collection Practices Act ( FDCPA ), which requires debt collectors to send a written notice within 5 days of initial communication.

This unauthorized reporting has negatively affected my credit score and financial standing.

I request that Portfolio Recovery remove this entry from my credit reports and provide proper validation of the debt as required by law."
5037,Credit card,"American Express has repeatedly denied my eligibility for the SCRA and XXXX as an XXXX XXXX service member. Beginning in XXXX of XXXX  I was charged with annual fees on my credit card. Since my initial membership with American Express Ive always been verified as SCRA and XXXX eligible, therefore I inquired about the charges and had no result with American Express. I have paperwork stating I am eligible from the Department of Defense. Theyve repeatedly rejected the paperwork and have said they would send an application on XXXX and XXXX XXXX. On XXXX XXXX, I inquired about my application and there was nothing submitted. 
This was the 5th application to submit for eligibility and American Express fails to submit the application after various phone calls and attempts via their chat support. Every time I bring up the difficulties they say I have to submit the application through them but Im always left with the same result. This is a blatant violation of the SCRA and XXXX."
5038,Bank account or service,"I am on social security retirement benefits of XXXX XXXX monthly, payable on the second Wednesday of each month. 
XXXX was recommended for direct deposit and i signed up with them about XX/XX/2022. 
I have had repeated problems with them allowing fraudsters access to my account, and defrauding me of XXXX of dollars, most of which was refunded by netspendallaccess. 
Last XXXX, i received an alert of a fraudulent transaction and called the customer service department for more information. 
They responded and said a restriction was placed on my account, charged me {$23.00} for a new replacement card to be expedited to me. 
Yesterday i called to inquire about the card and the tracking number since i was denied online access to my online banking account. 
Surprisingly, i was told that a further restriction was placed on my account until i complete an identity verification. The link sent to me wouldn't allow the verification to be done, and out of frustration, i requested that my account be closed, and the {$23.00} billed for the new card be refunded, and the final check of {$820.00} be expedited to the address on file, and offered that {$20.00} be taken off my balance for the expedited delivery. 
Netspendallaccess have blatantly refused till an identity verification is completed, and they are holding me and my money XXXX while late fees charges are accumulating for me. 
I need every help available to get this dubious establishment with very bad public relations and bad business practices release and expedite my final check to the address on file immediately."
5039,Bank account or service,Opened up a business account XXXX XXXX XXXX XXXX XXXX ) with Bank of America in XX/XX/year> and the nature of my business is that I XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX we had a large wire deposit from frontier title group for a closing that took place regarding a property that we sold and the account was perfectly fine. We then recently had another closing for $ XXXX from the SAME title company and according to the bank they are stating that the last wire was fraud or appears to be fraud. They didnt send any notification or warning regarding the account. So with that being said they decided to close the account and are refusing to release our funds. The account has over {$50000.00} in it and it is causing a huge hardship on not only my business but heaXXXX XXXX XXXX XXXX XXXX XXXX and need my funds to go through every day life. Ive expressed to this to branch and XXXX department and nothing seems to be working. They are claiming that the account will be closed on XX/XX/XXXX and can not wait till then to receive my money that Ive worked hard for. Please resolve this! Thank you.
5040,Mortgage,"In XX/XX/2022 we received notice from XXXX XXXX  that out mortgage was being transferred to Mr Cooper. We contacted Mr Cooper in late XXXX since we had not received any paper work from them. We were told that no payment would be due in XXXX. In mid XXXX we received a letter dated XX/XX/2022 welcoming us. On XX/XX/XXXX I received a notice from Mr Cooper that payment was due on XX/XX/XXXX but it was for twice the amount normally due. Since we were told by Mr Cooper that no payment was due in XXXX, we used that money to pay down our credit card. My wife contacted Mr Cooper to resolve and was told that all they could due was a pandemic forbearance but that all the money would still be due on XX/XX/XXXX. I called the next day and spoke to a supervisor. I explained the situation. He admitted to employee incompetence and said he could fix it. He said he could move the payment from XXXX to the end of the loan. Unfortunately that did not happen. Today I called in again and was told moving the XXXX payment to the end of the loan was impossible."
