row,narrative,label
5077,"- as per complaint XXXX, I tried to transfer $ XXXX from Goldman Sachs account XXXX to XXXX XXXX account. 
- TRANSFER WAS COMPLETED ON XX/XX/XXXX and FUNDS CLEARED and were delvered to my XXXX XXXX account - GOLDMAN SACHS recalled funds from XXXX  to Goldman Sachs on XX/XX/XXXX for no reason - They refused to "" authenticate me '' and in XX/XX/XXXX I was told that "" a supervisor would call me in 3-7 days '' - no supervisor ever called, of course - ON XX/XX/XXXX XXXX tried to transfer funds from Goldman Sachs to my account ending in XXXX at XXXX XXXX- The funds cleared into my XXXX XXXX account. On the day that they cleared, XXXX XXXX transferred funds from XXXX into another account - On XX/XX/XXXX, Goldman Sachs recalled the funds AGAIN resulting in a $ XXXX overdraft at XXXX XXXX in XXXX account!!! 
- I called XXXX XXXX and they confirmed that all transfers that I made had CLEARED SUCCESSFULLY before Goldman Sachs recalled the funds - XXXX XXXX also verified that transfers had been made successfully between Goldman Sachs and my XXXX XXXX account numerous times over the past few years- I am NOW BEING CHARGED OVERDRAFT FEES AT XXXX XXXX BECAUSE MARCUS IS TRYING TO CALL THE FUNDS BACK!!!!!! This overdraft situation began today, XX/XX/year>. 
- PLEASE HELP ME!",
5082,"I am reaching out to express my concerns about how Zelle handles disputes, especially after the recent CFPB lawsuit that pointed out critical issues with the platform. Despite having used Zelle multiple times and raising concerns about certain transactions, my bank and Zelle did not properly investigate my claims. They told me that it was impossible to recover lost funds and that tracking these transactions couldn't be done. According to the CFPB 's findings, it seems that Zelle not only failed to protect users but also let repeat offenders misuse the system, making users susceptible to scams. The system 's lack of accountability and transparency is deeply troubling and poses serious questions about consumer security.",
5088,"Without notice, explanation, or legal authority, Caliber claims that I owe them more than {$2000.00} in escrow arrears. Any shortage is the direct result of Caliber 's failure to adequately prepare for the XXXX 2017 annual property tax bill. Now, due only to Caliber 's error, Caliber has unilaterally increased my monthly mortgage by more than {$200.00} per month. This is a more than 10 % increase.",
5095,"I recently opened a line of credit with a company called XXXX. They transferred my loan to Monterey financial. My first payment of {$130.00} was due on XX/XX/23. I set up recurring payments on XX/XX/23 to have the bill paid monthly on the due date and have the email for reference. On XX/XX/23 I checked my checking account and they took out the {$130.00} as well as an additional {$120.00} without my approval. When I visited my Monterey financial account, they did not have any payment history available for me and it now is reporting my account is past due {$250.00}. I attempted to contact them with no success. Their lending practices are predatory in nature and based on multiple reviews I can see I am not the only person with issues with Monterey financial.",
5100,"Recently found out that XXXX credit cards were opened under my name without my knowledge. Noticed when I did a credit report. 
XXXX ) XX/XX/XXXX American Express card opened, Card closed XX/XX/XXXX XXXX ) XX/XX/XXXX XXXX XXXX XXXX XXXX opened, Card closed XX/XX/XXXX. 
XXXX ) XX/XX/XXXX XXXX XXXX XXXX opened, closed XX/XX/XXXX XXXX ) i opened XXXX XXXX  XXXX XXXX, XXXX. Multiple charges charged to this card without my knowledge All of this activity was done by wife who used my SSN and other personal information to open these accounts All documentation is in my credit report as well as a communication between a customer service person at XXXX and someone representing themselves as me.",
5102,"This is a debt for a vehicle of mine that was repossessed around XXXX, the car was then sold by the company and there was a balance not the amount they are saying it is for, and that balance was paid through a representative over the phone. Fast forward to XX/XX/XXXX I out of nowwhere received an email from my employer about a garnishment for an obscene amount. I contacted the attorney for the debt collection and requested to dispute this garnishment/collection and they stated they would send out documents to get this disputed, XXXX weeks from then I have yet to receive those documents and I called and they are saying they don't know when it will be sent out, but there is a note on the account. Meanwhile I am get over XXXX XXXX dollars taken out of my salary illegally while they give me the run around on sending what I need to get this disputed. Its just crazy when things are already bad. Not to mention this debt is over over XXXX XXXX XXXX.",
5103,I am filing a complaint regarding an inaccurate and re-reported collection account. Jefferson Capital Systems is currently reporting a XXXX collection account on my credit report. This same alleged debt was previously reported by XXXX XXXX and was removed from my credit file. The reappearance of this account under a different collection agency is misleading and raises serious concerns about the accuracy and validity of the debt. I have not received proper validation of this account from Jefferson Capital. This appears to be a duplicate or re-reported account that should not be on my credit report after prior deletion.,
5104,"We opened a construction loan with a float down to conventional mortgage in XX/XX/XXXX. The financial institution was Banner Bank in XXXX Washington. Due to frustrations and poor customer service, we paid off the loan and moved the balance to another institution on XX/XX/XXXX. 

We prepaid inspection fees totally {$1200.00} and only {$600.00} of that was recorded against the escrow. As of XX/XX/XXXX we haven't received the {$610.00} refund or any explanation where the funds are. We've asked repeatedly, via phone calls and emails for a reconciliation and receive no response from the department responsible for the funds.",
5106,"My name is XXXX XXXX an im submitting this complaint for myself an there is no third party involved. I am writing to delete the following information in my file. The items I need deleted are listed in the report. 
I am a victim of identity theft and did not make the charge. I ask that the items be deleted to correct my credit report. 
I reported the theft of my identity to the Federal Trade Commission and I also have enclosed copies of the Federal Trade Commissions Identity Theft Affidavit. Please delete the items as soon as possible.",
5107,"I have asked for Source receivables management to provide Forward flow agreement, debt validation, original document with dates and amounts owed with my signature.

USC 1681i ( a ) ( 6 ) ( b ) ( iii ) states I am entitled to 1 method of verification 2 description of procedure 3 proof of documentation during investigation that proves accuracy to consumer report. 5 business days or items must be removed from consumer report and all credit reporting bureaus.",
5109,"I am invested in a XXXX XXXX XXXX, XXXX XXXX XXXX XXXX, XXXX Texas. They were returning my investment via Wire Transfer from their account to mine via XXXX XXXX ( their bank ) via Chase into XXXX XXXX, where my account is- under the name of XXXX XXXX XXXX, XXXX. The original wire was made XX/XX/XXXX ( see attached IMAD # ) but the wire issuer made a single digit mistake - making the first digit a "" XXXX  '' instead of a "" XXXX  '' - which stopped the wire. We attempted to contact CHASE who received the wire, but repeated phone calls and emails to Chase 's wiring department went unanswered - phone calls said "" because of XXXX, then hung up '' every single time. We had no way to contact them. On behalf of myself, the recipient of the funds ( {$23000.00} ), XXXX XXXX initiated a recall on XX/XX/XXXX furthermore I contacted CHASE where I have a credit card and they said they could do nothing. Since our recall, neither XXXX XXXX, XXXX XXXX, XXXX XXXX or myself have gotten no response. If we call they have a recording "" because of XXXX we can't take this call or something to that effect '' - and hangup. As we approach the holidays, it's going on 90 days and it is now creating significant hardships and we see no alternative but to write the CFPB as Chase will not return my money and there is no other recourse. Please see the attached two documents that show the initial WIRE AMOUNT - the mistaken Account # ( XXXX XXXX not XXXX XXXX ) and the IMAD # of the wire made. CHASE Is holding my money and will not give it back or communicate. The recall on XX/XX/XXXX has done nothing. In addition, XXXX XXXX below ) also made a second wire for {$10000.00} I believe, which they are also in possession of and will not return. 
Please email me if questions XXXX or call XXXX XXXX XXXX XXXX XXXX - key contacts involved are below. 

Cc : XXXX, XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX | XXXX, WA ( XXXX ) XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX TX XXXX XXXX",
5110,"In XX/XX/scrub> 2023 my identity was compromised and unauthorized cryptocurrency transactions of about {$8000.00} posted. With added fees/interest the reported balance is now over {$10000.00}. I reported the fraud and provided a police report, FTC Identity Theft Report, ID, and proof of address. Discover refused to reverse the charges, restricted my account access, and then charged off the account while continuing to furnish delinquencies based on those unauthorized transactions.

Under the Truth in Lending Act ( 15 U.S.C. 1643 ) and Regulation Z ( 1026.12, 1026.13 ), my liability for unauthorized use is limited and the issuer must reasonably investigate and correct billing errors. Discover has not done so and the inaccurate furnishing is causing ongoing credit harm. I am requesting CFPB intervention.",
5113,"We have our home mortgage with Chase, and our home insurance with XXXX. Mechanically, we make payments to Chase for our mortgage, together with our home insurance and our property taxes- in a typical escrow set up. 

This summer we received a notice from XXXX that our house insurance had not been paid, and that it would - as a result - be cancelled. I called XXXX on the date that we received the letter, and confirmed that XXXX had not received payment from Chase. I then called Chase and confirmed that we were up to date on our mortgage payments. 

Chase 's explanation was that a "" batch cheque '' was sent to XXXX which included our payment along with a huge number of other people 's payments and that there must have been a delay in that process. Chase confirmed that they would make a direct payment for our home insurance, that XXXX would receive it within XXXX business days and that there was a grace period such that there would be no gap in our home insurance coverage. 

I thought it was resolved. 

Then, XXXX days ago I received another letter from XXXX with a refund cheque confirming that our policy had been cancelled and that the refund was in respect of a payment that was received after our policy had been cancelled. 

I spoke to XXXX, and they are cancelling the refund cheque and re-instating our policy. However, I had to confirm that nothing had happened at the house that would give rise to a claim in the period of no insurance ( XX/XX/scrub>XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX ), and confirm that I understood that I could not make a claim for anything that happened in that period. 

So there was a XXXX month period where if something had happened to our house, it would not have been insured- even though we've never missed a payment and I called to correct the problem ( created by Chase ) on the day I received the letter.",
5117,"I am submitting my 5th follow-up dispute regarding the continued inaccurate and unverifiable reporting of multiple accounts on my Experian and TransUnion credit reports. Specifically, XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX is reported with a balance of {$19000.00} on both Experian and TransUnion, and XXXX XXXXXXXX XXXX  is reported with a balance of {$300.00} on Experian. Despite multiple prior disputes, these accounts remain inaccurately reported, causing ongoing misrepresentation of my credit history and negatively impacting my creditworthiness. 
The reporting of XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX violates FCRA 611 ( a ) 15 U.S.C. 1681i ( a ), FCRA 623 ( a ) ( 1 ) ( A ) 15 U.S.C. 605B / 15 U.S.C. 1681c-2, and FCRA 607 ( b ) 15 U.S.C. 1681e ( b ), as no 1099-C has been issued for this debt and the balance is unverifiable. The continued listing of this account as a charge-off is false, misleading, and clearly fails to comply with the requirement to maintain maximum possible accuracy in my credit reporting. 
Additionally, the account XXXX XXXXXXXX XXXX violates FCPA 807 15 U.S.C. 1692e, FDCPA 809 15 U.S.C. 1692g, and FCRA 623 ( a ) ( 1 ) ( A ) 15 U.S.C. 605B / 15 U.S.C. 1681c-2, as it is reported inaccurately, with unverifiable balance information, and without proper validation or verification from the furnisher. Its continued presence on my Experian report is misleading, misrepresents my payment history, and may result in harm to my ability to obtain credit fairly.",
5121,"I had a real estate lawsuit in XXXX and my attorney representing me was XXXX XXXX from XXXX XXXX XXXX. On XX/XX/XXXX, I hired XXXX XXXX, who I never met. 
This lawsuit had a pooXXXX XXXX writen by an unlicensed closer and this caused many problems. 
We filed a letter of cancellation for a contract for deed. XXXX XXXX never filed that cancellation. Instead XXXX XXXX, put together an unauthorized settlement agreement and I got a Judgement instead. Also, deliberately overcharged me for work never finished and used XXXX attorney to help XXXX XXXX increase exaggerated charges ( {$65000.00} for 2 months of work ). 
The invoice was so high, I had no more money to pay XXXX XXXX, so I discharged XXXX, but no attorney would deal with this lawsuit, so I lost ownership in my commercial building. 

Complaint- I called XXXX XXXX Bank credit card services on XXXX XXXX that I wanted to make a dispute because of all the overcharges. XXXX XXXX Bank told me that US Bank owned the account and had to WAIT until the merger was complete and a statement was visible. This was not true. I still had to deal with XXXX XXXX Bank not US BAnk like I was told. With the XXXX, riots in XXXX, XXXX I live and other things, it was diffecult to keep track the merger. The merger when through and I called again to dispute the law firm charges. A XXXX XXXX Bank representive told me that a check would be arriving in XXXX business days. After XXXX days, I called back and was told I was pass the time frame that cardmember service allowed for a dispute credit. I had to pay this law firm {$16000.00} for work never performed. This mishap was not my fault! 

XXXX XXXX my credit card dispute for {$16000.00}. Again, I did try to be within the time limit, but the time was not long enough with that merger confusion and all the commotion going on. 

Sincerely, XXXX XXXX",
5122,"Hi, I've made a wire deposit from XXXX XXXX XXXX to Coinbase ( XXXX XXXX XXXX   ) on XX/XX/XXXX amount of {$25000.00}. However, the amount is still not showing up on my Coinbase account. I've called the XXXX XXXX XXXX  customer service and they told me that $ XXXX has been deposited to Coinbase on XX/XX/XXXX. I've contacted Coinbase several times in many ways but have not heard anything from them yet. 
For me, this is a large amount of money and I am very concerned about this issue. Could please please help me on this issue? I really want to know what is going on with my money? Below are the details of my transaction. Please let me know if you need anything else. 

Thanks for your help in advance! 

- Amount : {$25000.00} - Date sent : XX/XX/XXXX - Name of sending bank : XXXX XXXX XXXX - Personal name : XXXX XXXX - Email on Coinbase account : XXXX - Reference # : XXXX XXXX XXXX numberXXXX",
5125,"My mortgage company is Franklin American Mortgage. I have filed at least XXXX modification request with the company and each time they respond I do not "" qualify '' because I do not make enough. I lost XXXX % of my income and my husband abandoned the residence almost 2 years ago. I am now divorced and have a true Hardship. They have wasted months "" reviewing the documents '' then they tell me to resubmit them because they expired only to say NO again. The company should be audited as they lie to you each time you speak to them. I do not believe they are compliant with the FHA programs in anyway. Never trust this company.",
5130,I discovered that some of the information on my credit report was incorrect when I reviewed it. Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ) require the Experian and Transunion credit bureaus to validate these accounts ( A ). It is not permissible to fail to validate these reporting accounts as unverified information without providing any proof within the time frame specified by law. My credit report includes the following erroneous information that needs to be investigated and correct : XXXX XXXX  XXXX Balance Owed : {$35000.00} XXXX  XXXX Balance Owed : {$1700.00} XXXX XXXX  XXXX Balance Owed : {$35000.00},
5132,"On XXXX, my husband and I reported a rude and unprofessional customer service experience via the online Bank of America feedback inquiry regarding the Bank of America Branch ( XXXX XXXX XXXX, XXXX, CA ) in which my husband was denied the ability to withdraw {$70.00} from our checking account ( my husband is a noted account owner ). The teller had withdrawn the money from the account after my husband was PIN verified. However, refused to give my husband the withdrawal, insisting that he prove himself by showing his ID. Ironically, my husband was able to complete this transaction at another BOA branch in XXXX. 
On XX/XX/XXXX, I received an email from XXXX XXXX indicating she would be contacting me on this day. I personally left a voice-mail with XXXX indicating my availability. On XX/XX/XXXX, my husband visited the BOA branch ( XXXX XXXX XXXX XXXX to withdraw from the ATM. A message at the ATM displayed, "" Card not available for use. '' Upon going into the banking center, my husband was informed by the teller that the "" debit card was cancelled '', providing no specific reason. After speaking with BOA representative, XXXX, via telephone, I was personally informed the debit cards for both my checking accounts were canceled for "" fraud impersonator '' by the local BOA banking institution in XXXX on XXXX. As a result, we were left without access to our funds ( checking, savings ). I was never notified ( via phone, text, email, letter of notification ) of this cancelation until we personally tried to make a withdrawal on XX/XX/XXXX. As a result, we've had to reorder all debit cards, which will be a XXXX business day wait time. In the interim, my husband and I have been victimized by the unprofessional and unethical behavior or Bank of America. Additionally, I have not received any correspondence from XXXX XXXX. We truly appreciate your assistance in this matter.",
5134,"I always pay my mortgage on time. Yesterday I received an email from my home owner 's insurance that I was no longer insured. Apparently my mortgage lender didn't pay them. I find this unacceptable. How can a company expect me to pay on time every month, when they can't even do the same? Now I'm left vulnerable if there's any catastrophe involving my home? I would appreciate it if this matter was resolved in a timely manner.",
5136,"This Mortgage Company XXXX keeps harassing me over and over and over again AND KEEPS LEAVING ME VOICEMAILS, This just happened again today XXXX and has been going on for months. It is a Robo call saying that they are from XXXX XXXX  XXXX. I have called them and asked them to take my phone number off there system. They responded that it is MY PROBLEM. The number that they calling from is XXXX in XXXX.",
5139,"On XXXX I ordered a product from XXXX, On that same day I cancelled, however I was informed the product was already sent out ( XXXX XXXX supply ). My payment method was through XXXX. I have spent the last XXXX XXXX trying to resolve this matter with XXXX. They indicate they paid the full amount and there was no refund from the vendor. However XXXX advertises, cancel anytime and money back. Now XXXX is stating there is no account for me, how does that happen when XXXX indicates they paid the full amount. To date I only received XXXX shipment, yet they want me to pay the full amount for something I never received. XXXX or the collection company will not provide me with documentation.",
5147,"received a letter dated XX/XX/21 from synchrony bank telling me that they reviewed my account after it has been opened for over a year, telling me that the decided to close my account based on the amount of inquires on my credit report, not enough available credit on revolving accounts, lack of first mortgage account information. 
this is detrimental to my credit report and I never requested this account to be closed",
5152,"I am filling a complaint against cashapp ( Block , Inc ) due to inadequate customer service and unfair practices, which violate the consumer financial protection act ( CFPA ). Specifically, cashapp failed to take timely an effective measures to prevent and address fraud on their platform, leaving my account vulnerable and unprotected.Furthermore, their dispute process was unfair and deceptive, as they did not comply with error resolution requirements under the electronic fund transfer act ( EFTA ) and regulations E. These actions have caused significant inconvenience and financial loss, and I seek appropriate redress for those violations.",
5155,"XXXX XXXX XXXX XXXXXXXX Subject : Ongoing Failure to Apply Amex XXXX XXXX XXXX Dear CFPB Officer, I am an American Express XXXX cardholder entitled to the $ XXXX monthly XXXX XXXX credit . While Amex states this credit is applied on the first of each month, I have never seen it reflected in my XXXX or XXXX XXXX account. For the past XXXX months, the XXXX team manually provided the {$15.00} as a favor after I called ( First call was on XX/XX/year> and the second call was on XX/XX/year> ). However, they explicitly informed me that these manual adjustments are not part of the Amex benefit and can not be guaranteed every month. I have attached a screenshot for your review. This screenshot was taken on my XXXX account under Wallet>Deals & Rewards. As you see in this screenshot, the system assumes that I am receiving the {$15.00} XXXX cash credits. However, XXXX XXXX received XXXX amount is {$0.00}. As of today, XXXX XXXX, if their system showed the correct amount, XXXX would have been {$45.00}. This is the problem that I have been trying to explain since XXXX months. Despite both Amex and XXXX having open cases, after XXXX months, there is still no resolution ( my last call was on XX/XX/year> ). I am missing my promised benefit, and I can not continue calling both companies every month. They keep transferring the issue to one another and I am genuinely tired of following up constantly. I request immediate action to ensure the credit is automatically applied going forward, as originally promised. Sincerely, XXXX XXXX",
